TAF2_EX_UPDO_GENE	TAF2_IN_UPDO_GENE	dIDR_EX_UPDO_GENE	dIDR_IN_UPDO_GENE	SRRM2_EX_UPDO_GENE	SRRM2_IN_UPDO_GENE	BG_GENEs
SEC31B	NA	PCBP1-AS1	NA	TBC1D7	NA	ACSL4
HDX	NA	RASSF7	NA	ZNF512B	NA	GPKOW
TMEM50B	NA	LRP12	NA	NCOR2	NA	GRIPAP1
RP11-268G12.1	NA	PGAP1	NA	EFHD2	NA	LAPTM4A
SNHG14	NA	LCAT	NA	CCDC57	NA	TTC7A
L3MBTL1	NA	L3MBTL3	NA	SUPT20H	NA	SRBD1
RPGRIP1L	NA	KCTD8	NA	ARHGEF4	NA	KIF2A
DKK3	NA	HSF4	NA	SIM2	NA	PSME4
DTWD1	NA	C11orf80	NA	TYMP	NA	SIRT2
ZGRF1	NA	BMPR1B	NA	PPP6R2	NA	ERLEC1
L3HYPDH	NA	ZNF138	NA	AURKB	NA	PPP2R5B
GRK3	NA	FRYL	NA	ENAH	NA	NUP133
CCDC68	NA	LYSMD4	NA	METTL26	NA	VPS35
PTPRN	NA	OGG1	NA	CEP164	NA	BCL3
PCNX2	NA	PLEKHG2	NA	EHMT2	NA	KCNAB2
DAG1	NA	CENPC	NA	TANC1	NA	GAL
WDSUB1	NA	ARHGEF39	NA	INPPL1	NA	TGFBR3
PSG11	NA	NDUFC1	NA	APBB2	NA	NEDD4
LINC00476	NA	LARP1B	NA	NFAT5	NA	UFD1
TM7SF2	NA	AGBL3	NA	TACC1	NA	ELP1
CHIC1	NA	MAMSTR	NA	IRF3	NA	NUCB2
KYAT1	NA	ARHGAP22	NA	IL4R	NA	PTPN3
ZNF221	NA	REV3L	NA	AMDHD2	NA	TMEM260
RP11-334C17.5	NA	GBX2	NA	USP46	NA	SMG6
TENM1	NA	LINC00630	NA	TTC13	NA	WIPI1
CHD6	NA	DPY30	NA	APAF1	NA	NDST1
TAF2	NA	CCDC189	NA	TBCEL	NA	ASNS
ANXA8L1	NA	THBS3	NA	HKR1	NA	CSNK2A2
OSBPL7	NA	MCF2L2	NA	CORO1B	NA	PTPN21
JAKMIP2	NA	RAP1GAP2	NA	RBCK1	NA	EIF2B3
LINC00265	NA	RNF19A	NA	EOGT	NA	RAD18
KCTD9	NA	BCL2L11	NA	DCUN1D2	NA	MAP4K4
USF3	NA	SEC31B	NA	SPATA17	NA	SNX13
H1FX-AS1	NA	TMEM50B	NA	DNHD1	NA	ING3
XRRA1	NA	RP11-268G12.1	NA	SHARPIN	NA	SEL1L
ROR1	NA	PTPRN	NA	IKBKE	NA	TRIP13
CCDC183-AS1	NA	PHYKPL	NA	PTCH1	NA	ATP6AP1
NOD1	NA	CARF	NA	MARK1	NA	DAZAP1
ELMOD3	NA	DAG1	NA	ATP11A	NA	HLTF
ARHGEF3	NA	ZNF221	NA	AARS2	NA	CPSF1
CCDC15	NA	RAPGEFL1	NA	ADCY3	NA	CDH19
OBSCN	NA	NUDT17	NA	PICALM	NA	SLC6A15
MCOLN3	NA	RP13-349O20.2	NA	TNIP1	NA	ACTN1
LACE1	NA	ANXA8L1	NA	WDFY3	NA	ZFYVE26
PCAT7	NA	LINC00265	NA	TNRC6A	NA	ALDH3A2
NAAA	NA	KCTD9	NA	RAD52	NA	TFRC
TMC6	NA	CCDC183-AS1	NA	NF2	NA	AFF4
CPEB2	NA	NOD1	NA	FAAP20	NA	PALS1
WDFY3	NA	ARHGEF3	NA	SEC22C	NA	RHOBTB1
RPS6KL1	NA	VIPR1	NA	PEF1	NA	SMC1A
ERVK13-1	NA	CARD8	NA	PPP1R16A	NA	HSD17B10
MMAA	NA	PCAT7	NA	PAPLN	NA	HMMR
ZNF12	NA	NAAA	NA	PEX16	NA	P4HA2
ZNF517	NA	WDFY3	NA	ATXN2	NA	ACADVL
NQO2	NA	ZNF517	NA	MROH1	NA	STK10
SREBF1	NA	SREBF1	NA	FSTL3	NA	CRMP1
UBN2	NA	RPH3AL	NA	ATG13	NA	EVC
AK9	NA	PPP6C	NA	MINDY3	NA	DERL2
PEAK1	NA	CACNA1H	NA	SLCO4A1	NA	AP1M1
BEND6	NA	RPS6KL1	NA	ARFGAP1	NA	XRCC1
RPH3AL	NA	CATSPER2	NA	DAPK2	NA	SCARB1
GABARAPL1	NA	C19orf54	NA	TYK2	NA	MCM2
PAPLN	NA	SLF1	NA	XPO6	NA	LLGL2
MFAP5	NA	PLEKHN1	NA	DOLPP1	NA	NLE1
PPP6C	NA	PGAP3	NA	SYT7	NA	KDM5A
FLOT1	NA	VIPR2	NA	MOK	NA	FERMT2
ACBD6	NA	LINC00174	NA	SRCAP	NA	FRY
ZSCAN20	NA	SEC14L2	NA	RBM26	NA	NSF
DGKH	NA	EGF	NA	SEMA3F	NA	NCBP3
RABGAP1L	NA	CYB561D1	NA	DHTKD1	NA	ATP2A3
CATSPER2	NA	SLC25A35	NA	CWF19L1	NA	DPP8
C19orf54	NA	ANKMY1	NA	MACF1	NA	ZNF532
NOSTRIN	NA	ACCS	NA	PCSK7	NA	LMAN1
FDXACB1	NA	C21orf58	NA	RNF43	NA	HACD3
SLF1	NA	NA	NA	FANCB	NA	ZZEF1
MOK	NA	NA	NA	RHPN1	NA	MYDGF
PLEKHN1	NA	NA	NA	SYCP2	NA	EIF4G3
TTC39B	NA	NA	NA	CHKB	NA	NUP37
TSPAN9	NA	NA	NA	BCL2L12	NA	SEMA3A
VIPR2	NA	NA	NA	RCCD1	NA	TTC38
RP3-326I13.1	NA	NA	NA	CEP78	NA	ACAT1
SLC37A1	NA	NA	NA	BCL2L11	NA	SLC25A40
DPY19L4	NA	NA	NA	BCAR1	NA	TIMM21
DEPDC4	NA	NA	NA	ZNF462	NA	RASAL2
UBR4	NA	NA	NA	METTL6	NA	FNDC3B
LINC00174	NA	NA	NA	ULK4	NA	CACNG4
PARP9	NA	NA	NA	DEPDC4	NA	TMEM131
FSD1L	NA	NA	NA	SEC24A	NA	MOCOS
C9orf84	NA	NA	NA	RSRP1	NA	WDR62
ZDHHC23	NA	NA	NA	OBSCN	NA	BCAP29
CYB561D1	NA	NA	NA	TPRA1	NA	SART3
ROBO3	NA	NA	NA	FBRSL1	NA	MKRN2
FAM151B	NA	NA	NA	ADGRL1	NA	MCM6
PANK2	NA	NA	NA	PPARD	NA	RBMS2
ACCS	NA	NA	NA	ISL2	NA	MLH1
CACNA1H	NA	NA	NA	HSPBAP1	NA	PLXNA2
TMEM63C	NA	NA	NA	TTLL7	NA	SPAG5
NA	NA	NA	NA	MCRIP2	NA	ANKRD13A
NA	NA	NA	NA	YIPF2	NA	TPD52
NA	NA	NA	NA	BAZ1A	NA	GPATCH1
NA	NA	NA	NA	RP11-37B2.1	NA	NT5C2
NA	NA	NA	NA	OGDH	NA	MCAM
NA	NA	NA	NA	LRTOMT	NA	MBNL3
NA	NA	NA	NA	BRD7	NA	RAP1GAP
NA	NA	NA	NA	WDR59	NA	XAB2
NA	NA	NA	NA	FLVCR2	NA	ARHGEF1
NA	NA	NA	NA	HERC6	NA	STXBP2
NA	NA	NA	NA	EGFL7	NA	MAP2K7
NA	NA	NA	NA	TSTD2	NA	DGKD
NA	NA	NA	NA	DNMT3A	NA	TOP2B
NA	NA	NA	NA	SGK3	NA	UBE2T
NA	NA	NA	NA	RILP	NA	DNAJC10
NA	NA	NA	NA	MFF	NA	GTF3C1
NA	NA	NA	NA	PPCDC	NA	USP33
NA	NA	NA	NA	FBXL19	NA	LRCH4
NA	NA	NA	NA	KATNB1	NA	FAM76B
NA	NA	NA	NA	TSC22D2	NA	SIRT6
NA	NA	NA	NA	TPK1	NA	POLD3
NA	NA	NA	NA	BANP	NA	CAPZB
NA	NA	NA	NA	NCOA2	NA	JADE1
NA	NA	NA	NA	STXBP6	NA	FGFR1
NA	NA	NA	NA	JPX	NA	FBLN1
NA	NA	NA	NA	GLMP	NA	PIK3C3
NA	NA	NA	NA	LZTS2	NA	TULP3
NA	NA	NA	NA	GTPBP1	NA	NRDC
NA	NA	NA	NA	POLL	NA	VDAC3
NA	NA	NA	NA	STARD4	NA	PCM1
NA	NA	NA	NA	SETD7	NA	SDF4
NA	NA	NA	NA	LRRC23	NA	UBE2D4
NA	NA	NA	NA	CCDC134	NA	THOC1
NA	NA	NA	NA	STYX	NA	SLC1A3
NA	NA	NA	NA	VKORC1	NA	REXO1
NA	NA	NA	NA	RABGAP1L	NA	SENP1
NA	NA	NA	NA	PHYKPL	NA	CIC
NA	NA	NA	NA	ZNF821	NA	LIPE
NA	NA	NA	NA	GPSM1	NA	FDFT1
NA	NA	NA	NA	NEDD1	NA	PAFAH1B3
NA	NA	NA	NA	KCNN4	NA	OPHN1
NA	NA	NA	NA	LINC01278	NA	KIF22
NA	NA	NA	NA	FLAD1	NA	PGM1
NA	NA	NA	NA	TXNL4B	NA	DDX1
NA	NA	NA	NA	NAB1	NA	DNM2
NA	NA	NA	NA	ACP2	NA	RIMS1
NA	NA	NA	NA	PUM1	NA	RABL2B
NA	NA	NA	NA	CLCN5	NA	KEAP1
NA	NA	NA	NA	KDM6B	NA	SLC35C2
NA	NA	NA	NA	AP4M1	NA	CRYBG3
NA	NA	NA	NA	FLCN	NA	SMARCA2
NA	NA	NA	NA	NADK	NA	MID2
NA	NA	NA	NA	PLSCR1	NA	PSEN1
NA	NA	NA	NA	TBX1	NA	NDC80
NA	NA	NA	NA	MARK2	NA	AP4E1
NA	NA	NA	NA	ZNF621	NA	RSBN1
NA	NA	NA	NA	GTF2H3	NA	MAGI3
NA	NA	NA	NA	CYP2R1	NA	OSTM1
NA	NA	NA	NA	PPARA	NA	ARG2
NA	NA	NA	NA	PHLPP1	NA	MEF2C
NA	NA	NA	NA	PPP2R1B	NA	STK17B
NA	NA	NA	NA	VPS13A	NA	AACS
NA	NA	NA	NA	DNAJC27	NA	ATP8B1
NA	NA	NA	NA	MAPK12	NA	SMARCD3
NA	NA	NA	NA	RP11-706O15.3	NA	WDR70
NA	NA	NA	NA	FAM189B	NA	ME2
NA	NA	NA	NA	AIP	NA	C5orf22
NA	NA	NA	NA	CNTRL	NA	DLG3
NA	NA	NA	NA	FAM160A1	NA	GEMIN5
NA	NA	NA	NA	HAUS5	NA	ITGB5
NA	NA	NA	NA	ZC3HC1	NA	PALB2
NA	NA	NA	NA	PRPF40B	NA	DOP1A
NA	NA	NA	NA	C10orf76	NA	BCKDHB
NA	NA	NA	NA	MAVS	NA	KAT6A
NA	NA	NA	NA	JARID2	NA	TUT7
NA	NA	NA	NA	EEF1B2	NA	ULK2
NA	NA	NA	NA	MTG1	NA	PLOD1
NA	NA	NA	NA	HELZ	NA	P2RX5
NA	NA	NA	NA	OSGEPL1	NA	DIS3
NA	NA	NA	NA	USP4	NA	PDS5B
NA	NA	NA	NA	ENKD1	NA	CYLD
NA	NA	NA	NA	ABCC1	NA	ZNF324
NA	NA	NA	NA	ECHDC2	NA	FAT1
NA	NA	NA	NA	TRMT10B	NA	YTHDC1
NA	NA	NA	NA	OCRL	NA	SMAP2
NA	NA	NA	NA	CDCA3	NA	ZMPSTE24
NA	NA	NA	NA	CDIPT	NA	STARD7
NA	NA	NA	NA	ZNF227	NA	FAM234B
NA	NA	NA	NA	GBA2	NA	WBP11
NA	NA	NA	NA	PTDSS2	NA	EIF3I
NA	NA	NA	NA	SFI1	NA	COL16A1
NA	NA	NA	NA	L1CAM	NA	KIF3C
NA	NA	NA	NA	NINL	NA	HADHA
NA	NA	NA	NA	SLF1	NA	MAPRE3
NA	NA	NA	NA	MLLT10	NA	CAD
NA	NA	NA	NA	FNIP1	NA	BCORL1
NA	NA	NA	NA	RHOT2	NA	ATRX
NA	NA	NA	NA	AP1G2	NA	MECOM
NA	NA	NA	NA	RP11-6J21.2	NA	PREP
NA	NA	NA	NA	WDR81	NA	WDR47
NA	NA	NA	NA	INTS2	NA	SLC25A24
NA	NA	NA	NA	ISOC2	NA	MAP3K4
NA	NA	NA	NA	CPPED1	NA	CPNE3
NA	NA	NA	NA	HERC2	NA	MTIF2
NA	NA	NA	NA	DHRS3	NA	EPS15
NA	NA	NA	NA	TTC31	NA	ORC1
NA	NA	NA	NA	COL7A1	NA	CHERP
NA	NA	NA	NA	ZFAND1	NA	ATG16L1
NA	NA	NA	NA	ZNF638	NA	USP40
NA	NA	NA	NA	SVOPL	NA	POMGNT1
NA	NA	NA	NA	TBC1D19	NA	NFX1
NA	NA	NA	NA	MUTYH	NA	DIMT1
NA	NA	NA	NA	GRAMD1A	NA	EIF2AK1
NA	NA	NA	NA	IPO8	NA	RBM22
NA	NA	NA	NA	SELENBP1	NA	TMED2
NA	NA	NA	NA	PYCR1	NA	ERO1B
NA	NA	NA	NA	EVI5	NA	TXLNG
NA	NA	NA	NA	CELSR1	NA	HUWE1
NA	NA	NA	NA	TMEM181	NA	ZW10
NA	NA	NA	NA	ACSF2	NA	MTMR2
NA	NA	NA	NA	ARHGAP17	NA	TRIP6
NA	NA	NA	NA	CH17-189H20.1	NA	SRRT
NA	NA	NA	NA	NSUN4	NA	BAX
NA	NA	NA	NA	ZCCHC7	NA	PIGS
NA	NA	NA	NA	GAS2L1	NA	ATXN7L3
NA	NA	NA	NA	PRSS21	NA	MMP2
NA	NA	NA	NA	EPN2	NA	LPCAT2
NA	NA	NA	NA	AGFG2	NA	OGFOD1
NA	NA	NA	NA	DNAJC18	NA	NOP14
NA	NA	NA	NA	HERC2P9	NA	NID2
NA	NA	NA	NA	MTHFD2L	NA	GMCL1
NA	NA	NA	NA	CREB3L2	NA	SF3B2
NA	NA	NA	NA	PILRB	NA	KLHL42
NA	NA	NA	NA	LCA5L	NA	DNM1L
NA	NA	NA	NA	MLXIP	NA	ERGIC2
NA	NA	NA	NA	MLLT6	NA	TFAP2C
NA	NA	NA	NA	SCARA3	NA	METTL2A
NA	NA	NA	NA	ZMIZ2	NA	CNOT3
NA	NA	NA	NA	STARD10	NA	KHSRP
NA	NA	NA	NA	C1QTNF1-AS1	NA	ASAP3
NA	NA	NA	NA	KIF21A	NA	DNMT3B
NA	NA	NA	NA	CTDSPL	NA	TPX2
NA	NA	NA	NA	HACE1	NA	EPB41L1
NA	NA	NA	NA	NIT1	NA	DOCK9
NA	NA	NA	NA	TTPAL	NA	TGDS
NA	NA	NA	NA	TTC28-AS1	NA	ARHGAP28
NA	NA	NA	NA	THUMPD2	NA	ATRN
NA	NA	NA	NA	LIN7B	NA	SMOX
NA	NA	NA	NA	MGRN1	NA	NSFL1C
NA	NA	NA	NA	MYO1A	NA	XRN2
NA	NA	NA	NA	MIR22HG	NA	TESC
NA	NA	NA	NA	PRR14	NA	ESF1
NA	NA	NA	NA	CUEDC1	NA	RBBP9
NA	NA	NA	NA	PRRC2B	NA	ANAPC5
NA	NA	NA	NA	KLHL17	NA	SLC23A2
NA	NA	NA	NA	P3H4	NA	GCN1
NA	NA	NA	NA	KDM2B	NA	PXN
NA	NA	NA	NA	DOT1L	NA	KIF16B
NA	NA	NA	NA	CARMIL2	NA	TRMT6
NA	NA	NA	NA	RAB3IL1	NA	ERP29
NA	NA	NA	NA	PDE10A	NA	FXYD5
NA	NA	NA	NA	ZNF45	NA	GANAB
NA	NA	NA	NA	KIAA1522	NA	RBM41
NA	NA	NA	NA	RECK	NA	MLF2
NA	NA	NA	NA	DPP7	NA	DDX24
NA	NA	NA	NA	ZNF862	NA	DHX32
NA	NA	NA	NA	MEIS2	NA	RCOR1
NA	NA	NA	NA	SELENOI	NA	SPTLC1
NA	NA	NA	NA	FANCE	NA	PAPOLA
NA	NA	NA	NA	PHKG2	NA	CCNK
NA	NA	NA	NA	KHK	NA	STRN4
NA	NA	NA	NA	GRAMD1C	NA	IRAK3
NA	NA	NA	NA	NR4A1	NA	MUL1
NA	NA	NA	NA	RPL32P3	NA	TFAP4
NA	NA	NA	NA	ESPL1	NA	P3H2
NA	NA	NA	NA	SEZ6L2	NA	RAB11FIP3
NA	NA	NA	NA	SLC25A1	NA	GNPTG
NA	NA	NA	NA	DMXL1	NA	PABPC4
NA	NA	NA	NA	ABCA5	NA	MCOLN1
NA	NA	NA	NA	DCAF17	NA	USP48
NA	NA	NA	NA	TNFRSF12A	NA	EFNB1
NA	NA	NA	NA	SSH1	NA	PDPR
NA	NA	NA	NA	SCYL3	NA	AARS1
NA	NA	NA	NA	CENPX	NA	KIF4A
NA	NA	NA	NA	PALLD	NA	PITPNM2
NA	NA	NA	NA	MGAT5B	NA	EXOC1
NA	NA	NA	NA	SLC9A3R2	NA	OSBPL8
NA	NA	NA	NA	CSAD	NA	DTX2
NA	NA	NA	NA	NMT2	NA	PUS7
NA	NA	NA	NA	MCM9	NA	LAMB1
NA	NA	NA	NA	LRRC14	NA	DLD
NA	NA	NA	NA	SLC26A11	NA	TXNL1
NA	NA	NA	NA	NOL3	NA	MAP3K20
NA	NA	NA	NA	RAPGEF2	NA	FH
NA	NA	NA	NA	DCAF10	NA	SEL1L3
NA	NA	NA	NA	PHRF1	NA	CDV3
NA	NA	NA	NA	MBD5	NA	NLRP1
NA	NA	NA	NA	TCP11L1	NA	PITPNM3
NA	NA	NA	NA	ZNF292	NA	SPAG7
NA	NA	NA	NA	FOPNL	NA	CCDC80
NA	NA	NA	NA	RIF1	NA	PSME1
NA	NA	NA	NA	DIEXF	NA	HAUS4
NA	NA	NA	NA	CMTR1	NA	OSGEP
NA	NA	NA	NA	PPP2R2D	NA	RNF31
NA	NA	NA	NA	BIRC2	NA	HECTD1
NA	NA	NA	NA	COBL	NA	GEMIN2
NA	NA	NA	NA	TRAK1	NA	TRPM7
NA	NA	NA	NA	C11orf80	NA	TYRO3
NA	NA	NA	NA	SLC12A9	NA	PHGDH
NA	NA	NA	NA	PDLIM2	NA	EZR
NA	NA	NA	NA	P2RX6	NA	MYL6
NA	NA	NA	NA	TBRG4	NA	AGO1
NA	NA	NA	NA	ADGRE5	NA	CLSPN
NA	NA	NA	NA	METAP1D	NA	UNC13D
NA	NA	NA	NA	ARAP1	NA	DPYSL2
NA	NA	NA	NA	STX18	NA	TGFB2
NA	NA	NA	NA	ZNF142	NA	CDC45
NA	NA	NA	NA	RNF167	NA	COMT
NA	NA	NA	NA	GIGYF1	NA	HDAC6
NA	NA	NA	NA	CRELD1	NA	CDC23
NA	NA	NA	NA	SLC29A2	NA	MSH2
NA	NA	NA	NA	C15orf52	NA	DHPS
NA	NA	NA	NA	ZSWIM4	NA	EPB41L4B
NA	NA	NA	NA	TUBGCP6	NA	PTGS1
NA	NA	NA	NA	SIX5	NA	NUP188
NA	NA	NA	NA	TSC2	NA	NANS
NA	NA	NA	NA	ABHD11	NA	BTAF1
NA	NA	NA	NA	MGA	NA	IL11
NA	NA	NA	NA	REEP4	NA	WAC
NA	NA	NA	NA	CPNE7	NA	SRPK1
NA	NA	NA	NA	PPDPF	NA	MRPS18A
NA	NA	NA	NA	CUL9	NA	TMEM14A
NA	NA	NA	NA	EVPL	NA	CDC5L
NA	NA	NA	NA	NUDT22	NA	ITPR3
NA	NA	NA	NA	DHRS11	NA	DSP
NA	NA	NA	NA	EAF2	NA	IFT74
NA	NA	NA	NA	ENO3	NA	JAK2
NA	NA	NA	NA	PPRC1	NA	ABL1
NA	NA	NA	NA	CDKAL1	NA	SH3GLB1
NA	NA	NA	NA	TMEM62	NA	CDC7
NA	NA	NA	NA	MCIDAS	NA	SYDE2
NA	NA	NA	NA	TMLHE	NA	SCD
NA	NA	NA	NA	SPATA20	NA	NRP1
NA	NA	NA	NA	FASTK	NA	WASHC2A
NA	NA	NA	NA	SH3BP2	NA	MYO9B
NA	NA	NA	NA	HSD3B7	NA	SETD1A
NA	NA	NA	NA	SDR39U1	NA	CBARP
NA	NA	NA	NA	RPGRIP1L	NA	MISP
NA	NA	NA	NA	TMEM45A	NA	CEP170B
NA	NA	NA	NA	RGS19	NA	MKNK2
NA	NA	NA	NA	FOXJ3	NA	RANBP1
NA	NA	NA	NA	RPS6KL1	NA	ZDHHC8
NA	NA	NA	NA	RNPEPL1	NA	LZTR1
NA	NA	NA	NA	SLC39A4	NA	SMARCB1
NA	NA	NA	NA	PRPF4B	NA	CABIN1
NA	NA	NA	NA	JAG2	NA	SF3A1
NA	NA	NA	NA	LINC00630	NA	RNF215
NA	NA	NA	NA	ARHGEF19	NA	SPECC1L
NA	NA	NA	NA	RUSC1-AS1	NA	PPIL2
NA	NA	NA	NA	AHDC1	NA	PES1
NA	NA	NA	NA	RIPK2	NA	GGT1
NA	NA	NA	NA	PSD3	NA	PPM1F
NA	NA	NA	NA	KRI1	NA	TOP3B
NA	NA	NA	NA	NA	NA	CARD10
NA	NA	NA	NA	NA	NA	GGA1
NA	NA	NA	NA	NA	NA	HIRA
NA	NA	NA	NA	NA	NA	PATZ1
NA	NA	NA	NA	NA	NA	GGTLC2
NA	NA	NA	NA	NA	NA	MICALL1
NA	NA	NA	NA	NA	NA	CENPM
NA	NA	NA	NA	NA	NA	DDX17
NA	NA	NA	NA	NA	NA	RTCB
NA	NA	NA	NA	NA	NA	FBXO7
NA	NA	NA	NA	NA	NA	POLDIP3
NA	NA	NA	NA	NA	NA	TIMP3
NA	NA	NA	NA	NA	NA	SUN2
NA	NA	NA	NA	NA	NA	CYB5R3
NA	NA	NA	NA	NA	NA	LMF2
NA	NA	NA	NA	NA	NA	PACSIN2
NA	NA	NA	NA	NA	NA	AP1B1
NA	NA	NA	NA	NA	NA	HMGXB4
NA	NA	NA	NA	NA	NA	TOM1
NA	NA	NA	NA	NA	NA	THOC5
NA	NA	NA	NA	NA	NA	ASCC2
NA	NA	NA	NA	NA	NA	PNPLA3
NA	NA	NA	NA	NA	NA	MYH9
NA	NA	NA	NA	NA	NA	SAMM50
NA	NA	NA	NA	NA	NA	FOXRED2
NA	NA	NA	NA	NA	NA	EIF3D
NA	NA	NA	NA	NA	NA	TNRC6B
NA	NA	NA	NA	NA	NA	SGSM3
NA	NA	NA	NA	NA	NA	KIAA0930
NA	NA	NA	NA	NA	NA	EP300
NA	NA	NA	NA	NA	NA	L3MBTL2
NA	NA	NA	NA	NA	NA	RANGAP1
NA	NA	NA	NA	NA	NA	ZC3H7B
NA	NA	NA	NA	NA	NA	PHF5A
NA	NA	NA	NA	NA	NA	PMM1
NA	NA	NA	NA	NA	NA	CERK
NA	NA	NA	NA	NA	NA	HDAC10
NA	NA	NA	NA	NA	NA	KHNYN
NA	NA	NA	NA	NA	NA	RBM23
NA	NA	NA	NA	NA	NA	SOS2
NA	NA	NA	NA	NA	NA	PYGL
NA	NA	NA	NA	NA	NA	CDKN3
NA	NA	NA	NA	NA	NA	PLEK2
NA	NA	NA	NA	NA	NA	PSMA3
NA	NA	NA	NA	NA	NA	GSTZ1
NA	NA	NA	NA	NA	NA	DAAM1
NA	NA	NA	NA	NA	NA	PPM1A
NA	NA	NA	NA	NA	NA	CEP128
NA	NA	NA	NA	NA	NA	HIF1A
NA	NA	NA	NA	NA	NA	SRSF5
NA	NA	NA	NA	NA	NA	EIF5
NA	NA	NA	NA	NA	NA	DICER1
NA	NA	NA	NA	NA	NA	MTHFD1
NA	NA	NA	NA	NA	NA	TELO2
NA	NA	NA	NA	NA	NA	GSKIP
NA	NA	NA	NA	NA	NA	VRK1
NA	NA	NA	NA	NA	NA	RPS6KA5
NA	NA	NA	NA	NA	NA	PPP4R3A
NA	NA	NA	NA	NA	NA	TRIP11
NA	NA	NA	NA	NA	NA	DHRS2
NA	NA	NA	NA	NA	NA	SRP54
NA	NA	NA	NA	NA	NA	CHD8
NA	NA	NA	NA	NA	NA	PCK2
NA	NA	NA	NA	NA	NA	PRORP
NA	NA	NA	NA	NA	NA	DCAF11
NA	NA	NA	NA	NA	NA	PSMA6
NA	NA	NA	NA	NA	NA	EMC9
NA	NA	NA	NA	NA	NA	SEC23A
NA	NA	NA	NA	NA	NA	RABGGTA
NA	NA	NA	NA	NA	NA	PCIF1
NA	NA	NA	NA	NA	NA	TRPC4AP
NA	NA	NA	NA	NA	NA	PYGB
NA	NA	NA	NA	NA	NA	NFATC2
NA	NA	NA	NA	NA	NA	STK4
NA	NA	NA	NA	NA	NA	PFDN4
NA	NA	NA	NA	NA	NA	CSTF1
NA	NA	NA	NA	NA	NA	DNAJC5
NA	NA	NA	NA	NA	NA	NELFCD
NA	NA	NA	NA	NA	NA	CTSZ
NA	NA	NA	NA	NA	NA	PRPF6
NA	NA	NA	NA	NA	NA	PSMA7
NA	NA	NA	NA	NA	NA	MRGBP
NA	NA	NA	NA	NA	NA	DIDO1
NA	NA	NA	NA	NA	NA	GID8
NA	NA	NA	NA	NA	NA	SLC17A9
NA	NA	NA	NA	NA	NA	NKAIN4
NA	NA	NA	NA	NA	NA	EEF1A2
NA	NA	NA	NA	NA	NA	PTK6
NA	NA	NA	NA	NA	NA	GMEB2
NA	NA	NA	NA	NA	NA	ADISSP
NA	NA	NA	NA	NA	NA	HM13
NA	NA	NA	NA	NA	NA	SEC23B
NA	NA	NA	NA	NA	NA	PLCB4
NA	NA	NA	NA	NA	NA	MYL9
NA	NA	NA	NA	NA	NA	TM9SF4
NA	NA	NA	NA	NA	NA	CRNKL1
NA	NA	NA	NA	NA	NA	IDH3B
NA	NA	NA	NA	NA	NA	JAG1
NA	NA	NA	NA	NA	NA	TTI1
NA	NA	NA	NA	NA	NA	E2F1
NA	NA	NA	NA	NA	NA	FAM83D
NA	NA	NA	NA	NA	NA	DHX35
NA	NA	NA	NA	NA	NA	DNTTIP1
NA	NA	NA	NA	NA	NA	ACOT8
NA	NA	NA	NA	NA	NA	USP14
NA	NA	NA	NA	NA	NA	METTL4
NA	NA	NA	NA	NA	NA	SMCHD1
NA	NA	NA	NA	NA	NA	CEP192
NA	NA	NA	NA	NA	NA	RNMT
NA	NA	NA	NA	NA	NA	LAMA1
NA	NA	NA	NA	NA	NA	MIB1
NA	NA	NA	NA	NA	NA	RBBP8
NA	NA	NA	NA	NA	NA	CSTF2
NA	NA	NA	NA	NA	NA	STS
NA	NA	NA	NA	NA	NA	TBL1X
NA	NA	NA	NA	NA	NA	PGRMC1
NA	NA	NA	NA	NA	NA	POLA1
NA	NA	NA	NA	NA	NA	MID1
NA	NA	NA	NA	NA	NA	NKAP
NA	NA	NA	NA	NA	NA	PRPS2
NA	NA	NA	NA	NA	NA	AMMECR1
NA	NA	NA	NA	NA	NA	WDR13
NA	NA	NA	NA	NA	NA	SUV39H1
NA	NA	NA	NA	NA	NA	SRPX
NA	NA	NA	NA	NA	NA	ATP11C
NA	NA	NA	NA	NA	NA	ABCD1
NA	NA	NA	NA	NA	NA	CCDC22
NA	NA	NA	NA	NA	NA	PLP2
NA	NA	NA	NA	NA	NA	PLS3
NA	NA	NA	NA	NA	NA	ASB9
NA	NA	NA	NA	NA	NA	SLC25A14
NA	NA	NA	NA	NA	NA	PIM2
NA	NA	NA	NA	NA	NA	SCML2
NA	NA	NA	NA	NA	NA	PQBP1
NA	NA	NA	NA	NA	NA	EMD
NA	NA	NA	NA	NA	NA	UBL4A
NA	NA	NA	NA	NA	NA	CD99L2
NA	NA	NA	NA	NA	NA	EEA1
NA	NA	NA	NA	NA	NA	RP2
NA	NA	NA	NA	NA	NA	JADE3
NA	NA	NA	NA	NA	NA	CDK16
NA	NA	NA	NA	NA	NA	USP11
NA	NA	NA	NA	NA	NA	HTATSF1
NA	NA	NA	NA	NA	NA	TIMP1
NA	NA	NA	NA	NA	NA	FGD1
NA	NA	NA	NA	NA	NA	PIN4
NA	NA	NA	NA	NA	NA	RBM3
NA	NA	NA	NA	NA	NA	CENPI
NA	NA	NA	NA	NA	NA	TAF7L
NA	NA	NA	NA	NA	NA	GLA
NA	NA	NA	NA	NA	NA	NDFIP2
NA	NA	NA	NA	NA	NA	FNDC3A
NA	NA	NA	NA	NA	NA	CAB39L
