EXPERIMENT	TYPE	EVENT	DIRECTION
HeLa-SRRM2-KD	Exon	HsaEX1034887	UP
HeLa-SRRM2-KD	Exon	HsaEX0032160	UP
HeLa-SRRM2-KD	Exon	HsaEX0036955	UP
HeLa-SRRM2-KD	Exon	HsaEX0009152	UP
HeLa-SRRM2-KD	Exon	HsaEX0039904	UP
HeLa-SRRM2-KD	Exon	HsaEX0027311	UP
HeLa-SRRM2-KD	Exon	HsaEX0012466	UP
HeLa-SRRM2-KD	Exon	HsaEX0067748	UP
HeLa-SRRM2-KD	Exon	HsaEX0052986	UP
HeLa-SRRM2-KD	Exon	HsaEX0044186	UP
HeLa-SRRM2-KD	Exon	HsaEX0065542	UP
HeLa-SRRM2-KD	Exon	HsaEX0023449	UP
HeLa-SRRM2-KD	Exon	HsaEX0034344	UP
HeLa-SRRM2-KD	Exon	HsaEX0054301	UP
HeLa-SRRM2-KD	Exon	HsaEX6094790	UP
HeLa-SRRM2-KD	Exon	HsaEX0047268	UP
HeLa-SRRM2-KD	Exon	HsaEX1018807	UP
HeLa-SRRM2-KD	Exon	HsaEX0030432	UP
HeLa-SRRM2-KD	Exon	HsaEX0070316	UP
HeLa-SRRM2-KD	Exon	HsaEX1038767	UP
HeLa-SRRM2-KD	Exon	HsaEX0028563	UP
HeLa-SRRM2-KD	Exon	HsaEX0005998	UP
HeLa-SRRM2-KD	Exon	HsaEX0003950	UP
HeLa-SRRM2-KD	Exon	HsaEX0007738	UP
HeLa-SRRM2-KD	Exon	HsaEX0008400	UP
HeLa-SRRM2-KD	Exon	HsaEX0012576	UP
HeLa-SRRM2-KD	Exon	HsaEX0017556	UP
HeLa-SRRM2-KD	Exon	HsaEX0025363	UP
HeLa-SRRM2-KD	Exon	HsaEX0031556	UP
HeLa-SRRM2-KD	Exon	HsaEX0041889	UP
HeLa-SRRM2-KD	Exon	HsaEX0048320	UP
HeLa-SRRM2-KD	Exon	HsaEX0063555	UP
HeLa-SRRM2-KD	Exon	HsaEX6009566	UP
HeLa-SRRM2-KD	Exon	HsaEX6009567	UP
HeLa-SRRM2-KD	Exon	HsaEX6004823	UP
HeLa-SRRM2-KD	Exon	HsaEX0032770	UP
HeLa-SRRM2-KD	Exon	HsaEX0072328	UP
HeLa-SRRM2-KD	Exon	HsaEX0029930	UP
HeLa-SRRM2-KD	Exon	HsaEX6028633	UP
HeLa-SRRM2-KD	Exon	HsaEX0015190	UP
HeLa-SRRM2-KD	Exon	HsaEX0074170	UP
HeLa-SRRM2-KD	Exon	HsaEX0019163	UP
HeLa-SRRM2-KD	Exon	HsaEX1034888	UP
HeLa-SRRM2-KD	Exon	HsaEX0034811	UP
HeLa-SRRM2-KD	Exon	HsaEX0065584	UP
HeLa-SRRM2-KD	Exon	HsaEX7104351	UP
HeLa-SRRM2-KD	Exon	HsaEX0005859	UP
HeLa-SRRM2-KD	Exon	HsaEX1024357	UP
HeLa-SRRM2-KD	Exon	HsaEX0065806	UP
HeLa-SRRM2-KD	Exon	HsaEX0000892	UP
HeLa-SRRM2-KD	Exon	HsaEX0025724	UP
HeLa-SRRM2-KD	Exon	HsaEX1040459	UP
HeLa-SRRM2-KD	Exon	HsaEX0046227	UP
HeLa-SRRM2-KD	Exon	HsaEX1046441	UP
HeLa-SRRM2-KD	Exon	HsaEX7008563	UP
HeLa-SRRM2-KD	Exon	HsaEX0059040	UP
HeLa-SRRM2-KD	Exon	HsaEX0009157	UP
HeLa-SRRM2-KD	Exon	HsaEX0003184	UP
HepG2-SRRM2-KD	Exon	HsaEX0053494	UP
HepG2-SRRM2-KD	Exon	HsaEX0057234	UP
HepG2-SRRM2-KD	Exon	HsaEX0008812	UP
HepG2-SRRM2-KD	Exon	HsaEX0001548	UP
HepG2-SRRM2-KD	Exon	HsaEX0062679	UP
HepG2-SRRM2-KD	Exon	HsaEX0034823	UP
HepG2-SRRM2-KD	Exon	HsaEX0048873	UP
HepG2-SRRM2-KD	Exon	HsaEX0032926	UP
HepG2-SRRM2-KD	Exon	HsaEX0028808	UP
HepG2-SRRM2-KD	Exon	HsaEX0059286	UP
HepG2-SRRM2-KD	Exon	HsaEX0046781	UP
HepG2-SRRM2-KD	Exon	HsaEX0027046	UP
HepG2-SRRM2-KD	Exon	HsaEX0041240	UP
HepG2-SRRM2-KD	Exon	HsaEX0019681	UP
HepG2-SRRM2-KD	Exon	HsaEX1024973	UP
HepG2-SRRM2-KD	Exon	HsaEX7109033	UP
HepG2-SRRM2-KD	Exon	HsaEX0043249	UP
HepG2-SRRM2-KD	Exon	HsaEX0033145	UP
HepG2-SRRM2-KD	Exon	HsaEX0019328	UP
HepG2-SRRM2-KD	Exon	HsaEX1000668	UP
HepG2-SRRM2-KD	Exon	HsaEX0062925	UP
HepG2-SRRM2-KD	Exon	HsaEX1005618	UP
HepG2-SRRM2-KD	Exon	HsaEX1045495	UP
HepG2-SRRM2-KD	Exon	HsaEX0022122	UP
HepG2-SRRM2-KD	Exon	HsaEX1045307	UP
HepG2-SRRM2-KD	Exon	HsaEX0041367	UP
HepG2-SRRM2-KD	Exon	HsaEX0038414	UP
HepG2-SRRM2-KD	Exon	HsaEX0066371	UP
HepG2-SRRM2-KD	Exon	HsaEX0074066	UP
HepG2-SRRM2-KD	Exon	HsaEX1015560	UP
HepG2-SRRM2-KD	Exon	HsaEX0007305	UP
HepG2-SRRM2-KD	Exon	HsaEX1045448	UP
HepG2-SRRM2-KD	Exon	HsaEX0001122	UP
HepG2-SRRM2-KD	Exon	HsaEX0000041	UP
HepG2-SRRM2-KD	Exon	HsaEX0024015	UP
HepG2-SRRM2-KD	Exon	HsaEX0073947	UP
HepG2-SRRM2-KD	Exon	HsaEX1031693	UP
HepG2-SRRM2-KD	Exon	HsaEX0046780	UP
HepG2-SRRM2-KD	Exon	HsaEX0027033	UP
HepG2-SRRM2-KD	Exon	HsaEX0067152	UP
HepG2-SRRM2-KD	Exon	HsaEX0004687	UP
HepG2-SRRM2-KD	Exon	HsaEX0054972	UP
HepG2-SRRM2-KD	Exon	HsaEX0073772	UP
HepG2-SRRM2-KD	Exon	HsaEX0057275	UP
HepG2-SRRM2-KD	Exon	HsaEX0033960	UP
HepG2-SRRM2-KD	Exon	HsaEX0064494	UP
HepG2-SRRM2-KD	Exon	HsaEX0041369	UP
HepG2-SRRM2-KD	Exon	HsaEX0041241	UP
HepG2-SRRM2-KD	Exon	HsaEX0018711	UP
HepG2-SRRM2-KD	Exon	HsaEX0060045	UP
HepG2-SRRM2-KD	Exon	HsaEX0064495	UP
HepG2-SRRM2-KD	Exon	HsaEX0001547	UP
HepG2-SRRM2-KD	Exon	HsaEX0031034	UP
HepG2-SRRM2-KD	Exon	HsaEX0004251	UP
HepG2-SRRM2-KD	Exon	HsaEX0005584	UP
HepG2-SRRM2-KD	Exon	HsaEX0074024	UP
HepG2-SRRM2-KD	Exon	HsaEX1016866	UP
HepG2-SRRM2-KD	Exon	HsaEX0037169	UP
HepG2-SRRM2-KD	Exon	HsaEX0041285	UP
HepG2-SRRM2-KD	Exon	HsaEX1007633	UP
HepG2-SRRM2-KD	Exon	HsaEX0005500	UP
HepG2-SRRM2-KD	Exon	HsaEX1008102	UP
HepG2-SRRM2-KD	Exon	HsaEX1017862	UP
HepG2-SRRM2-KD	Exon	HsaEX1002210	UP
HepG2-SRRM2-KD	Exon	HsaEX1021131	UP
HepG2-SRRM2-KD	Exon	HsaEX0013160	UP
HepG2-SRRM2-KD	Exon	HsaEX0069923	UP
HepG2-SRRM2-KD	Exon	HsaEX1007657	UP
HepG2-SRRM2-KD	Exon	HsaEX6019305	UP
HepG2-SRRM2-KD	Exon	HsaEX0038685	UP
HepG2-SRRM2-KD	Exon	HsaEX1010695	UP
HepG2-SRRM2-KD	Exon	HsaEX0014473	UP
HepG2-SRRM2-KD	Exon	HsaEX0036162	UP
HepG2-SRRM2-KD	Exon	HsaEX0053173	UP
HepG2-SRRM2-KD	Exon	HsaEX0043535	UP
HepG2-SRRM2-KD	Exon	HsaEX0017128	UP
HepG2-SRRM2-KD	Exon	HsaEX0014240	UP
HepG2-SRRM2-KD	Exon	HsaEX1017003	UP
HepG2-SRRM2-KD	Exon	HsaEX0045310	UP
HepG2-SRRM2-KD	Exon	HsaEX0073025	UP
HepG2-SRRM2-KD	Exon	HsaEX0030034	UP
HepG2-SRRM2-KD	Exon	HsaEX0054431	UP
